MSOA21CD,Medianage
E02001617,33
E02001618,45
E02001619,36
E02001620,34
E02001621,34
E02001622,38
E02001623,35
E02001624,39
E02001625,35
E02001626,43
E02001627,37
E02001628,32
E02001629,36
E02001630,31
E02001631,42
E02001632,28
E02001633,49
E02001634,37
E02001635,45
E02001636,32
E02001637,29
E02001638,24
E02001639,34
E02001640,23
E02001642,38
E02001643,47
E02001646,22
E02001647,43.5
E02001648,28
E02001649,34
E02001650,23
E02001651,48
E02001652,23
E02001653,33
E02001654,44
E02001655,39
E02001656,34
E02001657,40
E02001658,35
E02001659,44
E02001660,37
E02001661,37
E02001662,46
E02001663,39
E02001664,45
E02001665,48
E02001666,41
E02001669,39
E02001670,37
E02001671,52
E02001672,45
E02001673,46
E02001674,48
E02001675,47
E02001676,49
E02001678,49
E02001679,38
E02001680,37
E02001681,47
E02006803,44
E02006843,24
E02006844,22
E02006868,32
E02006869,41
E02002183,56
E02002184,50
E02002185,46
E02002187,48
E02002188,43
E02002189,35
E02002190,33
E02002191,33
E02002192,50
E02002193,37
E02002194,41
E02002195,51
E02002196,43
E02002197,43
E02002198,45
E02002199,44
E02002200,44
E02002201,40
E02002202,39
E02002203,38
E02002204,47
E02002205,49
E02002206,38
E02002207,33
E02002208,37
E02002209,31
E02002210,37
E02002211,33
E02002212,27
E02002213,44
E02002214,35
E02002215,29
E02002216,31
E02002217,29
E02002218,34
E02002219,28
E02002220,28
E02002222,33
E02002223,28
E02002224,28
E02002225,42
E02002226,26
E02002227,32
E02002228,32
E02002229,39
E02002230,28
E02002231,34
E02002232,31
E02002233,26
E02002234,31
E02002235,30
E02002236,35
E02002237,35
E02002238,36
E02002239,36
E02002240,41
E02002241,37
E02002242,44
E02002243,40
E02006945,47
E02006946,45
E02006947,28
E02006948,29
E02002244,46
E02002245,35
E02002246,48
E02002247,49
E02002248,39
E02002249,35
E02002250,49
E02002251,40
E02002252,40
E02002253,31
E02002254,46
E02002255,31
E02002256,43
E02002257,30
E02002258,44
E02002259,40
E02002260,43
E02002261,42
E02002262,47
E02002263,44
E02002264,46
E02002265,46
E02002266,46
E02002267,44
E02002268,41
E02002269,44
E02002270,46
E02002271,42
E02002272,40
E02002273,43
E02002274,44
E02002275,42
E02002276,38
E02002277,36
E02002278,40
E02002279,40
E02002280,33
E02002281,36
E02002282,32
E02002283,35
E02002284,41
E02002285,45
E02002286,33
E02002287,34
E02002288,37
E02002289,29
E02002290,47
E02002291,43
E02002292,45
E02002293,29
E02002294,31
E02002295,34
E02002296,47
E02002297,43
E02002298,44
E02002299,31
E02002300,41
E02002301,31
E02002302,46
E02002303,41
E02002304,36
E02002305,36
E02002306,48
E02002307,42
E02002308,40
E02002309,34
E02002310,39
E02002311,41
E02002312,26
E02002313,31
E02002314,47
E02002315,38
E02002316,47
E02002317,35
E02002318,43
E02002319,41
E02002320,49
E02002321,44
E02002322,47
E02002323,48
E02002324,48
E02002325,46
E02002326,46
E02002327,47
E02002328,49
E02002329,47
E02002330,51
E02002331,46
E02002332,46
E02002333,48
E02002334,47
E02002335,49
E02002336,47
E02002337,45
E02002338,43
E02002339,41
E02002340,47
E02002341,46
E02002342,44
E02002343,42
E02002344,43
E02002345,44
E02002346,39
E02002347,37
E02002348,40
E02002349,40
E02002350,41
E02002351,48
E02002352,41
E02002353,40
E02002354,39
E02002356,38
E02002357,38
E02002358,39
E02002359,49
E02002360,38
E02002361,39
E02002362,37
E02002363,37
E02002364,39
E02002366,38
E02002367,35
E02002368,41
E02002369,34
E02002370,35
E02002371,34
E02002373,22
E02002374,32
E02002375,31
E02002376,31
E02002377,29
E02002379,32
E02002380,41
E02002381,38
E02002382,27
E02002383,21
E02002384,24
E02002385,25
E02002386,47
E02002387,35
E02002388,34
E02002389,35
E02002390,37
E02002391,40
E02002392,21
E02002393,31
E02002394,31
E02002395,37
E02002396,37
E02002397,40
E02002398,47
E02002399,34
E02002400,32
E02002401,32
E02002402,47
E02002403,45
E02002404,29
E02002405,40
E02002406,46
E02002407,34
E02002408,42
E02002409,41
E02002410,40
E02002411,29
E02002412,39
E02002414,32
E02002415,28
E02002416,46
E02002417,40
E02002418,44
E02002419,36
E02002420,35
E02002421,34
E02002422,42
E02002423,37
E02002424,41
E02002425,45
E02002426,44
E02002427,44
E02002428,37
E02002429,42
E02002430,32
E02002431,36
E02002432,42
E02002433,40
E02002434,36
E02002435,39
E02002436,41
E02002437,47
E02006852,33
E02006861,21
E02006875,23
E02006876,30
E02002438,36
E02002439,39
E02002440,42
E02002441,39
E02002442,41
E02002443,42
E02002444,40
E02002445,42
E02002446,48
E02002447,41
E02002448,38
E02002449,38
E02002450,40
E02002451,47
E02002452,39
E02002453,40
E02002454,35
E02002455,38
E02002456,37
E02002457,37
E02002458,43
E02002459,38
E02002460,48
E02002461,39
E02002462,45
E02002463,35
E02002464,38
E02002465,48
E02002466,45
E02002467,34
E02002468,46
E02002469,44
E02002470,53
E02002471,47
E02002472,49
E02002473,47
E02002474,40
E02002475,50
E02002476,36
E02002477,43
E02002478,39
E02002479,46
E02002480,45
E02002481,40
E02002482,37
E02002796,48
E02002797,51
E02002798,42
E02002799,34
E02002800,44
E02002801,42
E02002802,35
E02002803,28
E02002804,37
E02002805,50
E02002806,28
E02002807,41
E02002808,30
E02002809,41
E02002810,44
E02002811,30
